求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日
1012251,1,0,ハイクラス,,,非公開,,,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,8,2,営業,IT系営業,株式会社富士ゼロックス,ＢＰＭコンサルタント,ソリューション営業本部のＢＰＭソリューション営業部への配属予定です。大手企業、販社の経営課題に訴求し、ＢＰＭアプローチによりＳｉｅｒ、コンサルティング会社に対する同社の競争優位性のあるソリューションを構築し案件のぷ疎ジェクトマネジメントを行なっていただきます。案件の標準化、伝道、伝承の礎も作っていただきます。,企業内の基幹システム、業務システムに精通し顧客の業務プロセスの変革の提案経験のあるＩＴ企業の営業、マーケティング、営業企画経験者,ドキュメントマネジメントの知識、実業務のご経験、外部ベンダー編成、コーディネーション経験のある方,,,柔軟性があり、チームプレイが出来る方,企業内の基幹システム、業務システムに精通し顧客の業務プロセスの変革の提案経験のあるＩＴ企業の営業、マーケティング、営業企画経験者,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:47
1012253,1,0,ハイクラス,,,非公開,,,8,4,営業,企画営業,8,7,営業,その他,8,2,営業,IT系営業,株式会社富士ゼロックス,マーケティングマネージャー（及びスタッフ）,ソリューションサービス営業本部のワンストップビジネス推進部に配属予定です。販売会社（特に中小企業）のお客様に対する下記のいずれかの職務をご担当いただきます。①ネットワークサービス（インフラサポートサービス、業種、業務系サービス）の企画②ダイレクトマーケティング（ＷＥＢ、ＴＥＬ、ＤＭ、メールなど）を活用し商品、サービスの興味喚起から提供価値の説明、そこからの契約までの企画、実施まを統括。③自社商品の商品、ソリューションを企画し、取り扱いベンダーと共同でパッケージ商品企画（ハード・ソフト・役務、保守）し、プロモーション企画を推進④新規チャネル開拓マネージャーとして中小企業に強いサービスやリーチを持つパートナー企業との連携しサービス企画、販売チャネルの選定、販売プロモーションを行なう、パートナーとのビジネススキームの検討などです。,以下のいずれかのご経験のある方。中小企業向けのシステムサービスの企画、マーケティング経験。ＳＡＡＳやＡＳＰサービスの商品企画、営業提案、成果がでたご経験者。ダイレクトトマーケティング経験者、ＩＴシステム（特に業界のデファクトスタンダード製品）の営業経験者、特にＰＣ、サーバー、ネットワーク、業務アプリケーションに強い方。,新規チャネル企画、開発経験者、ドキュメントマネジメント知識、実業務のご経験、外部ベンダー編成、コーディネーション経験のある方歓迎,,,柔軟性があり、チームプレイが出来る方,以下のいずれかのご経験のある方。中小企業向けのシステムサービスの企画、マーケティング経験。ＳＡＡＳやＡＳＰサービスの商品企画、営業提案、成果がでたご経験者。ファイレクトマーケティング経験者、ＩＴシステム（特に業界のデファクトスタンダード製品）の営業経験者、特にＰＣ、サーバー、ネットワーク、業務アプリケーションに強い方。,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:47
1012256,1,0,ハイクラス,,,非公開,,,2,6,ビジネスコンサルタント,その他,4,1,マーケティング・広報・IR,マーケティング,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,株式会社富士ゼロックス,マーケティングコンサルタント営業,プロダクションサービス本部の配属予定です。企業全体のマーケティングコミュニケーション課題の見える化とＲＯＩ変革に向けたシニアレベルのコンサルティングを実施していただきます。,以下のいずれかのご経験のある方。広告代理店、ＣＲＭコンサル会社のシニアコンサルタント、シニア営業経験者。ＣＭＯ（Ｃｈｉｅｆ　Ｍａｒｋｅｔｉｎｇ　Ｏｆｆｉｃｅｒ）に対するプレゼン、コンサルティングスキルのある方で成果をしっかりと話せる方。,,スタンダードレベル,,柔軟性があり、チームプレイが出来る方,以下のいずれかのご経験のある方。広告代理店、ＣＲＭコンサル会社のシニアコンサルタント、シニア営業経験者。ＣＭＯ（Ｃｈｉｅｆ　Ｍａｒｋｅｔｉｎｇ　Ｏｆｆｉｃｅｒ）に対するプレゼン、コンサルティングスキルのある方。,東京都,港区,,,大卒以上,30,40,550,1100,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:46
1012259,1,0,ハイクラス,,,非公開,,,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,8,2,営業,IT系営業,8,2,営業,IT系営業,株式会社富士ゼロックス,基幹系業務スペシャリスト,プロダクションサービス営業本部の配属予定です。基幹業務フルアウトソーシング戦略策定、アウトソーシングサービスの提案、キャパシティサイジングプライシングの提案のできる方。,以下のいずれかのご経験のある方。大手トータルＩＴソリューション企業でのＳＩ、データセンター営業、業務アプリケーション、アウトソーシング営業経験者。クライアントサイドでのシステム企画、アウソトソーシング構築経験、経験者、経営者クラスへの提案、交渉経験のある方,,,,柔軟性があり、チームプレイが出来る方,以下のいずれかのご経験のある方。大手トータルＩＴソリューション企業でのＳＩ、データセンター営業、業務アプリケーション、アウトソーシング営業経験者。金融、官公庁、自治体向けの業務アプリケーションのシステム営業またはプロジェクトマネージャー経験者。経営者クラスへの提案、交渉経験のある方,東京都,港区,,,大卒以上,30,42,500,1100,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:46
1012257,1,0,ハイクラス,,,非公開,,,8,7,営業,その他,4,1,マーケティング・広報・IR,マーケティング,2,6,ビジネスコンサルタント,その他,株式会社富士ゼロックス,プロデューサー,プロダクションサービス営業本部の配属予定です。獲得案件での顧客のコミュニケーション企画、設計、実行シナリオ、ビジネスモデルの総合プロデュースを御願いします。,クロスメディアベースでのコミュニケーション企画力のある方、広告代理店や制作会社でのプロデューサー経験者。同社のコミュニケーション理念とこのポジションに興味をもたれる方。,,,,柔軟性があり、チームプレイが出来る方,クロスメディアベースでのコミュニケーション企画力のある方、広告代理店や制作会社でのプロデューサー経験者。,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:46
1012211,1,0,ハイクラス,,,非公開,,,10,1,ITエンジニア,プロジェクトマネージャー・リーダー,10,1,ITエンジニア,プロジェクトマネージャー・リーダー,9,2,ITコンサルタント,ERP・業務プロセスコンサルタント,株式会社富士ゼロックス,サービス設計マネージャー・サービスデリバリーマネージャー,グローバルサービス本部でのアウトソーシングサービス提供者としてクライアントに対する課題解決のためのサービスを設計、構築に向けたプロジェクトマネジメントを行ないます。またはサービスデリバリーの品質管理、保証を行い高い顧客満足、品質を維持、改善をすることでドキュメント関連アウトソーシングビジネスの拡大に貢献していただきます。,以下いずれかのご経験のある方。大手SI、ITコンサルティング会社でのBPO、アウトソーシングビジネスでのサービス設計、サービス構築のプロジェクトマネジメント経験のある方、数億円規模の大型ITプロジェクトの仕様策定の責任者、リーダーのご経験のある方。サービスデリバリー、運用の経験のある方。シェアードサービス会社でサービス運用のリーダー的役割のご経験のある方,,,,柔軟性があり、チームプレイが出来る方,以下いずれかのご経験のある方。大手SI、ITコンサルティング会社でのBPO、アウトソーシングビジネスでのサービス設計、サービス構築のプロジェクトマネジメント経験のある方、数億円規模の大型ITプロジェクトの仕様策定の責任者、リーダーのご経験のある方。サービスデリバリー、運用の経験のある方。シェアードサービス会社でサービス運用のリーダー的役割のご経験のある方,東京都,港区,,,大卒以上,30,38,500,1100,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:46
1012250,1,0,ハイクラス,,,非公開,,,4,1,マーケティング・広報・IR,マーケティング,8,2,営業,IT系営業,10,1,ITエンジニア,プロジェクトマネージャー・リーダー,株式会社富士ゼロックス,ソリューション市場開発【金融・医療・公共市場別】,金融市場、医療市場、公共市場の市場別にマーケティングスペシャリストの採用を行ないます。各市場を対象としてＯＰＳ、ＭＦＰ及びドキュメントボリューム獲得を目的としてコンサルティング会社やＳＩｅｒと協業し市場開拓、案件推進、プロジェクトマネジメントを行なうとともに業界ごとのマーケティングの役割を担っていただきます。ソリューションサービス営業本部のビジネスパートナー営業部を配属予定としています。,金融、医療、公共業界のいずれかの業界の業務システム及びＩＴ知識（出力機器、出力システム）に加え、コンサルティング会社やＳＩｅｒとプロジェクト推進できるスキルとコミュニケーション力のある方。また顧客への提案、営業との同行、プレゼンテーションに強い方。システムＩＴ営業が出来る方,目標達成意欲や責任感の高い方を求めます。,,,柔軟性があり、チームプレイが出来る方,金融、医療、公共業界のいずれかの業界の業務システム及びＩＴ知識（出力機器、出力システム）に加え、コンサルティング会社やＳＩｅｒとプロジェクト推進できるスキルとコミュニケーション力のある方。また顧客への提案、営業との同行、プレゼンテーションに強い方。システムＩＴ営業が出来る方,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:46
1012255,1,0,ハイクラス,,,非公開,,,8,4,営業,企画営業,8,2,営業,IT系営業,8,2,営業,IT系営業,株式会社富士ゼロックス,基幹系業務サービス企画営業,プロダクションサービス営業本部の配属予定です。金融業界（都銀、生損保、証券、カード会社）、大手企業、官公庁、自治体業界向けに基幹系業務フルアウトソーシングの獲得営業を行なっていただきます。またアライアンス担当として大手ＩＴコンサルティング会社やクラウド事業者との連携も強化していただきます。,以下のいずれかのご経験のある方。大手トータルＩＴソリューション企業でのＳＩ、データセンター営業、業務アプリケーション、アウトソーシング営業経験者。金融、官公庁、自治体向けの業務アプリケーションのシステム営業またはプロジェクトマネージャー経験者。経営者クラスへの提案、交渉経験のある方,,,,柔軟性があり、チームプレイが出来る方,以下のいずれかのご経験のある方。大手トータルＩＴソリューション企業でのＳＩ、データセンター営業、業務アプリケーション、アウトソーシング営業経験者。金融、官公庁、自治体向けの業務アプリケーションのシステム営業またはプロジェクトマネージャー経験者。経営者クラスへの提案、交渉経験のある方,東京都,港区,,,大卒以上,28,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:45
1012206,1,0,ハイクラス,,,非公開,,,8,4,営業,企画営業,8,7,営業,その他,8,2,営業,IT系営業,株式会社富士ゼロックス,ビジネス開発・マーケティング【業界・業務スペシャリスト】,各種業界向けのドキュメント関連サービスのマーケティング・商品企画、提案、営業企画、プレゼンテーション、営業支援活動などを行います。その方のご経験業界によりますが、想定は自動車業界向け、官公庁向け、大学向け等です。業界トレンド、課題、市場データの分析を通したサービス仮説立案、提案シナリオの策定と展開をグローバルサービス本部で行なっていただきます。グローバルサービス本部はグローバル企業（国内・海外向け）にアウトソーシングビジネスを展開している部門です。,以下いずれかのご経験のある方。自動車メーカーにてマーケティング、商品企画のご経験のある方。広告代理店、印刷会社などで自動車メーカーの販売促進に関わる提案、成果を残せたご経験のある方。官公庁向けの事業企画、サービス商品企画、マーケティング、営業マネージャー経験のある方。官公庁向け大型ITプロ時ジェクトの入札、仕様策定のご経験のある方。大学とうでの教材制作について知見が豊富な方。,ドキュメントマネジメントの知識、実業務のご経験、外部ベンダー編成、コーディネーション経験のある方,,,柔軟性があり、チームプレイが出来る方,以下いずれかのご経験のある方。自動車メーカーにてマーケティング、商品企画のご経験のある方。広告代理店、印刷会社などで自動車メーカーの販売促進に関わる提案、成果を残せたご経験のある方。官公庁向けの事業企画、サービス商品企画、マーケティング、営業マネージャー経験のある方。官公庁向け大型ITプロ時ジェクトの入札、仕様策定のご経験のある方。大学とうでの教材制作について知見が豊富な方。,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:45
1012254,1,0,ハイクラス,,,非公開,,,8,7,営業,その他,8,2,営業,IT系営業,8,2,営業,IT系営業,株式会社富士ゼロックス,プロダクションサービス企画営業,プロダクションサービス営業本部の配属予定です。サービスビューロー、印刷業界へのプロダクション機器およびサービス販売を御願いいたします。,以下のいずれかのご経験のある方で経営者、幹部クラスへのプレゼンテーション、交渉の経験が豊富な方をイメージしています。ＩＴメーカー、ＳＩｅｒ、データセンター等での営業トップセールス経験。サービスビューロー、印刷企業での営業経験。,新規チャネル企画、開発経験者、ドキュメントマネジメント知識、実業務のご経験、外部ベンダー編成、コーディネーション経験のある方歓迎,,,柔軟性があり、チームプレイが出来る方,以下のいずれかのご経験のある方で経営者、幹部クラスへのプレゼンテーション、交渉の経験が豊富な方をイメージしています。ＩＴメーカー、ＳＩｅｒ、データセンター等での営業トップセールス経験。サービスビューロー、印刷企業での営業経験。,東京都,港区,,,大卒以上,30,38,500,1000,増員,1003795,コンピュータ（ハード）,複写機やプリンター、複合機、光、電子デバイス、情報、通信機器などの研究、開発、生産、販売を通じて、知識創造社会を支える「ドキュメントサービスビジネス」をワールドワイドに展開しています。<BR><BR><BR><BR>,ドキュメントソリューションカンパニーとして印刷、商業印刷、紙のみでなく音声、映像も含めた「知」の効率化を目指し、働く環境を快適化する企業です。海外向け売上が約４０％。日本、中国、アジアパシフィック地域の販売、サービスをカバーしています。株主は富士フイルムホールディングス７５％とゼロックスリミテッド２５％で社員数連結で約４万名単体で９９００名。ドキュメントソリューション、文書管理システムを軸に業界別にソリューションをそろえ、新たな時代の働き方を提案していく事業ビジョンです。人材開発、教育制度も充実し落ち着いて働ける環境です。<BR>,1962,6,2000000,9911,東京都,港区赤坂9-7-3,ミドル層、即戦力の方のお問い合わせをお待ちしています。,岡田,2011/4/15 13:45
